label,scheme,amp_scale,detuning_offset_rad_s,n_xx_total,n_gx_total,log_negativity_uncond,log_negativity_pol,purity_photons_all,overlap_abs_avg,bell_coh_abs,bell_coh_phase_rad
tpe_resonant,TPE,1,0,0.956513801972190825,0.939797667992207653,0.650110306887936473,0.706656319609638484,0.572261229792721871,0.626102531110496074,0.316008632526286359,0.926942719618582656
tpe_resonant_5pi,TPE,5,0,1.14750065632424603,1.12398450910362202,0.566216850889585621,0.677396621342899463,0.461974578586933637,0.626102531110496074,0.299625630789670638,1.06669739825731491
tpe_detuned_3GHz,TPE,1,18849555921.5387573,0.148642654443829569,0.147075046616516047,0.121392882116842682,0.699897867272464724,0.74429960893305025,0.626102531110496074,0.312194896597799032,0.921690702187364708
