t [ns],Omega(t) [rad/s],Area(t) [rad],|G>|^2,|X1>|^2,|X2>|^2,|XX>|^2,G_X_out_H,G_X_out_V,X_XX_out_H,X_XX_out_V
0.0,3.468914163081943e-86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020000000000000005,7.714036748816731e-86,1.1182950911898675e-88,1.0,3.2882135000728634e-179,3.2882135000728634e-179,1.589496723714109e-175,1.0463032425812799e-185,3.288214546376106e-179,1.0463032425812799e-185,3.288214546376106e-179
0.004000000000000001,1.7126750941600134e-85,3.602373860231554e-88,1.0,8.295069751836202e-179,8.295069751836202e-179,4.0040992254703746e-175,2.639481071775028e-185,8.295072391317273e-179,2.639481071775028e-185,8.295072391317273e-179
0.006,3.7964124575970206e-85,9.111461411988587e-88,1.0,1.3301926003599543e-178,1.3301926003599543e-178,6.41870172722664e-175,4.232658900968777e-185,1.3301930236258443e-178,4.232658900968777e-185,1.3301930236258443e-178
0.008000000000000002,8.401888740993914e-85,2.130976261057952e-87,1.0,2.5131912682143553e-176,2.5131912682143553e-176,2.2267632102508856e-162,5.176781784817481e-180,2.513708946392837e-176,5.176781784817481e-180,2.513708946392837e-176
0.01,1.8564599799788329e-84,4.8276251151361765e-87,1.0,1.363221558274139e-175,1.363221558274139e-175,1.2146382804939386e-161,2.8237681735554663e-179,1.3635039350914945e-175,2.8237681735554663e-179,1.3635039350914945e-175
0.012,4.095428852465741e-84,1.077951394758075e-86,1.0,2.4751239897268467e-175,2.4751239897268467e-175,2.2066002399628013e-161,5.1298581686292065e-179,2.4756369755437096e-175,5.1298581686292065e-179,2.4756369755437096e-175
0.014000000000000002,9.02024447800129e-84,2.3895187278047783e-86,1.0,3.587026421179559e-175,3.587026421179559e-175,3.1985621994316576e-161,7.435948163702947e-179,3.5877700159959296e-175,7.435948163702947e-179,3.5877700159959296e-175
0.016000000000000004,1.983546382175088e-83,5.275089557779996e-86,1.0,4.698928852632267e-175,4.698928852632267e-175,4.19052415890052e-161,9.742038158776687e-179,4.6999030564481444e-175,9.742038158776687e-179,4.6999030564481444e-175
0.018000000000000002,4.354833356500559e-83,1.161346929645565e-85,1.0,5.810831284084979e-175,5.810831284084979e-175,5.182486118369377e-161,1.2048128153850427e-178,5.812036096900364e-175,1.2048128153850427e-178,5.812036096900364e-175
0.02,9.545657554091288e-83,2.5513960207047485e-85,1.0,6.922733715537687e-175,6.922733715537687e-175,6.174448077838233e-161,1.4354218148924156e-178,6.924169137352579e-175,1.4354218148924156e-178,6.924169137352579e-175
0.022000000000000002,2.0890329419848128e-82,5.594994718098687e-85,1.0,8.034636146990395e-175,8.034636146990395e-175,7.166410037307092e-161,1.6660308143997896e-178,8.036302177804795e-175,1.6660308143997896e-178,8.036302177804795e-175
0.024,4.564464728817988e-82,1.2248492388901495e-84,1.0,9.146538578443103e-175,9.146538578443103e-175,8.158371996775949e-161,1.8966398139071625e-178,9.14843521825701e-175,1.8966398139071625e-178,9.14843521825701e-175
0.026000000000000002,9.957253212760938e-82,2.6770210330480433e-84,1.0,1.025844100989581e-174,1.025844100989581e-174,9.150333956244808e-161,2.1272488134145365e-178,1.0260568258709225e-174,2.1272488134145365e-178,1.0260568258709225e-174
0.028000000000000004,2.16867451580847e-81,5.841420870132605e-84,1.0,1.1370343441348518e-174,1.1370343441348518e-174,1.0142295915713661e-160,2.3578578129219095e-178,1.137270129916144e-174,2.3578578129219095e-178,1.137270129916144e-174
0.03,4.715788614948171e-81,1.2725884000889241e-83,1.0,1.248224587280123e-174,1.248224587280123e-174,1.1134257875182521e-160,2.5884668124292835e-178,1.248483433961366e-174,2.5884668124292835e-178,1.248483433961366e-174
0.03200000000000001,1.0238101056531163e-80,2.767977367236859e-83,1.0,1.3594148304253939e-174,1.3594148304253939e-174,1.212621983465138e-160,2.8190758119366575e-178,1.3596967380065875e-174,2.8190758119366575e-178,1.3596967380065875e-174
0.034,2.2191651480570963e-80,6.0109526209470744e-83,1.0,1.470605073570665e-174,1.470605073570665e-174,1.311818179412024e-160,3.0496848114440315e-178,1.4709100420518095e-174,3.0496848114440315e-178,1.4709100420518095e-174
0.036000000000000004,4.802473346495949e-80,1.3032591115500125e-82,1.0,1.5817953167159359e-174,1.5817953167159359e-174,1.41101437535891e-160,3.2802938109514055e-178,1.582123346097031e-174,3.2802938109514055e-178,1.582123346097031e-174
0.038000000000000006,1.0376369586299032e-79,2.821143404829507e-82,1.0,1.6929855598612067e-174,1.6929855598612067e-174,1.5102105713057956e-160,3.5109028104587784e-178,1.6933366501422526e-174,3.5109028104587784e-178,1.6933366501422526e-174
0.04,2.2383656358976347e-79,6.097145999357047e-82,1.0,1.8041758030064777e-174,1.8041758030064777e-174,1.6094067672526815e-160,3.7415118099661524e-178,1.8045499541874744e-174,3.7415118099661524e-178,1.8045499541874744e-174
0.042,4.820829326627857e-79,1.3156340961882544e-81,1.0,1.915366046151749e-174,1.915366046151749e-174,1.7086029631995675e-160,3.9721208094735264e-178,1.9157632582326962e-174,3.9721208094735264e-178,1.9157632582326962e-174
