label,scheme,amp_scale,detuning_offset_rad_s,n_xx_total,n_gx_total,log_negativity_uncond,log_negativity_pol,purity_photons_all,overlap_abs_avg,bell_coh_abs,bell_coh_phase_rad
tpe,TPE,1,0,0.991206437882402591,0.97574419664821832,0.688779341541592927,0.707543176423116704,0.654758574064564058,0.626102531110496074,0.316510405439246578,0.908545110321193783
bichromatic,BICHROMATIC,4,0,0.81387285052564029,0.803492721230430251,0.0269277756790033337,0.0349859523861208652,0.326413397756749379,0.626102531110496074,0.012302993697329543,-1.29757203924896003
arp,ARP,1.19999999999999996,0,0.562955969614228224,0.554166245771566146,0.427307084160453376,0.706840102610074461,0.403202455677914795,0.626102531110496074,0.316112589400862898,0.911721502784684668
